CounterpartyName,Trader,B_1D_7D,B_8D_1M,B_Over_1M,L_1D_7D,L_8D_1M,L_Over_1M,B_Depo,L_Depo,Buyout,Broker
口行,NA,30/d,300,500,15,150,250,1bp,1bp,NA,虞顺
浦发资管,NA,30/d,300,500,0,0,0,0,0,NA,吴皓
浦发银行资管,NA,30/d,300,500,0,0,0,0,0,NA,吴皓
浦发银行,NA,30/d,300,500,0,0,0,1bp,0,NA,陈容
浦发,NA,30/d,300,500,0,0,0,1bp,0,NA,陈容
兴业资管,NA,30/d,300,500,0,0,0,0,0,NA,虞顺
兴业银行资管,NA,30/d,300,500,0,0,0,0,0,NA,虞顺
兴业银行,NA,30/d,300,500,0,0,0,1bp,0,NA,王淼
兴业,NA,30/d,300,500,0,0,0,1bp,0,NA,王淼
渣打,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,王淼
渣打银行,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,王淼
中信证券,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,蒋学钊
OCBC,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,王淼
华侨银行,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,王淼
华侨,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,王淼
国金证券,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,NA,吴皓
国金证券衍生品部,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,NA,吴皓
国金证券衍生品,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,NA,吴皓
汇丰银行,NA,25,300,500,25,300,500,0.5bp,0.5bp,20/d,王淼
汇丰,NA,25,300,500,25,300,500,0.5bp,0.5bp,20/d,王淼
HSBC,NA,25,300,500,25,300,500,0.5bp,0.5bp,20/d,王淼
平安证券,NA,50/d,500,1000,50/d,500,1000,0,0,20/d,陈容
中金,NA,50/d,300,500,50/d,300,500,1bp,1bp,20/d,周琛
DBS,NA,50/d,500,1000,50/d,500,1000,1bp,1bp,20/d,周琛
